id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,ch_input_id
1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,128,128,128,255,22,0,17,0.1,0
2,5,1,1,-19.0,18.0,3.0588,0.0,0.0,0.0,0.15,0.15,0.15,112,93,61,255,22,0,0,0.1,0
3,5,1,1,-18.0,18.0,3.0588,0.0,0.0,0.0,0.15,0.15,0.15,46,37,28,255,22,0,0,0.1,0
4,5,1,1,-17.0,18.0,3.0118,0.0,0.0,0.0,0.15,0.15,0.15,57,53,42,255,22,0,0,0.1,0
5,5,1,1,-16.0,18.0,3.2941,0.0,0.0,0.0,0.15,0.15,0.15,51,47,36,255,22,0,0,0.1,0
6,5,1,1,-15.0,18.0,3.8588,0.0,0.0,0.0,0.15,0.15,0.15,45,41,30,255,22,0,0,0.1,0
7,5,1,1,-14.0,18.0,3.8118,0.0,0.0,0.0,0.15,0.15,0.15,46,43,26,255,22,0,0,0.1,0
8,5,1,1,-13.0,18.0,3.2,0.0,0.0,0.0,0.15,0.15,0.15,57,49,38,255,22,0,0,0.1,0
9,5,1,1,-12.0,18.0,2.4471,0.0,0.0,0.0,0.15,0.15,0.15,62,60,39,255,22,0,0,0.1,0
10,5,1,1,-11.0,18.0,2.0235,0.0,0.0,0.0,0.15,0.15,0.15,101,85,52,255,22,0,0,0.1,0
11,5,1,1,-10.0,18.0,1.8824,0.0,0.0,0.0,0.15,0.15,0.15,150,135,114,255,22,0,0,0.1,0
12,5,1,1,-9.0,18.0,1.9294,0.0,0.0,0.0,0.15,0.15,0.15,92,77,54,255,22,0,0,0.1,0
13,5,1,1,-8.0,18.0,2.1176,0.0,0.0,0.0,0.15,0.15,0.15,162,140,99,255,22,0,0,0.1,0
14,5,1,1,-7.0,18.0,2.1647,0.0,0.0,0.0,0.15,0.15,0.15,132,123,108,255,22,0,0,0.1,0
